wealth,age,educ,marry
13612.,26,3,0
32544.,21,3,0
40459.,65,3,0
3945.,39,2,1
749893.,46,3,1
35337.,63,5,1
505559.,68,3,0
933798.,52,4,1
466410.,58,4,1
283425.,64,2,0
7872.,37,3,1
72938.,51,1,1
72502.,40,3,1
36408.,42,3,1
27567.,38,4,0
250979.,53,4,1
7322.,24,4,0
8739.,22,2,0
84132.,64,4,1
56973.,27,3,0
390264.,62,3,0
233751.,60,2,1
2005920.,50,4,1
5294.,26,4,0
49704.,32,2,0
72112.,57,2,0
268881.,43,2,0
3280.,26,2,0
40716.,59,4,1
50765.,42,3,1
73689.,44,2,1
76968.,34,5,1
45036.,35,3,1
550068.,73,3,0
12010.,34,2,1
139046.,45,3,0
39212.,45,3,0
59131.,36,2,1
538154.,55,2,1
1551086.,62,5,1
14575.,36,3,1
178702.,44,4,0
374048.,54,2,1
295959.,55,3,0
376929.,41,3,1
3657.,80,1,1
18910.,31,2,1
325075.,50,3,1
129574.,49,5,1
79210.,43,2,1
32368.,32,1,0
5893.,27,5,1
168221.,56,3,1
46518.,71,4,1
49321.,30,2,0
34636.,23,3,0
3322.,27,3,0
25507.,64,4,1
15131.,43,2,0
85116.,38,4,1
93518.,41,1,1
245910.,57,5,0
56240.,49,5,0
22826.,55,3,1
76593.,30,2,0
213247.,52,5,1
96764.,37,3,1
55731.,44,2,1
76999.,40,2,0
20937.,31,4,1
104559.,50,1,1
277485.,61,3,1
399506.,41,3,1
1982.,24,2,0
73690.,24,4,0
323486.,53,4,1
764246.,50,5,1
70367.,25,5,1
277014.,58,2,0
153557.,59,3,1
89599.,23,3,0
46127.,51,2,1
40107.,68,3,0
54052.,61,2,0
54633.,34,2,1
1335872.,31,3,1
10037.,29,4,0
5433.,23,2,0
6978.,60,4,1
22687.,52,4,1
3562.,22,2,1
107343.,36,2,1
1964.,25,2,1
25008.,25,3,0
194085.,48,3,1
25896.,28,4,0
92125.,58,5,1
235700.,44,5,0
74223.,35,3,0
50901.,30,2,0
167548.,61,3,0
196000.,36,4,0
292711.,50,2,1
14668.,29,3,0
24497.,25,4,0
46983.,53,4,1
347492.,61,3,1
17109.,70,2,1
26785.,48,4,1
29918.,55,1,0
26720.,38,4,0
153084.,44,4,1
3563.,23,3,1
395991.,52,3,1
38021.,61,1,0
155364.,54,5,0
75514.,39,1,1
252519.,42,4,1
228646.,41,4,1
40368.,24,4,0
3720.,37,3,1
149786.,38,2,0
72159.,65,4,1
220027.,63,2,1
231759.,62,3,1
7392.,29,4,0
13833.,25,3,0
45236.,41,4,1
5675.,27,4,0
4218172.,59,2,1
335907.,49,3,1
134863.,44,3,0
29407.,47,2,1
50474.,54,2,0
72567.,65,5,1
222126.,48,2,0
7063.,32,3,1
111960.,44,2,1
644901.,60,4,1
1878.,29,3,1
8860.,33,4,1
22564.,29,5,0
190382.,39,5,1
348943.,29,4,0
48835.,51,2,0
365392.,32,5,0
1377587.,40,4,1
299710.,59,4,1
125023.,71,2,0
1286521.,50,2,1
703284.,55,3,1
22089.,28,5,1
6770.,27,3,0
21008.,69,4,1
102439.,32,2,0
84602.,47,2,0
97791.,39,1,1
9308.,45,1,1
3272.,22,3,0
159694.,42,4,1
86037.,32,3,1
17871.,43,3,1
2765.,21,2,0
4546.,22,3,0
88926.,63,3,0
64250.,54,3,0
10712.,29,2,0
631441.,39,3,1
18289.,27,4,0
59721.,34,2,1
143661.,51,2,0
46507.,41,4,1
8987.,27,1,0
223072.,43,4,0
890951.,52,4,0
7373.,27,3,0
32683.,44,4,1
192681.,71,3,1
48331.,49,4,1
2129.,21,3,0
1287256.,51,3,1
26212.,46,1,0
85092.,53,2,1
23679.,36,5,1
63456.,35,4,0
42012.,33,2,1
188158.,43,4,1
10359.,34,2,0
555885.,51,4,1
19814.,38,3,1
4773.,36,3,0
13973.,29,1,0
128369.,63,2,1
495118.,54,2,1
228.,23,4,0
20636.,22,2,0
62170.,30,4,1
966206.,42,2,1
443295.,61,2,0
888611.,38,3,1
17171.,21,1,0
323087.,62,3,1
138675.,36,5,1
132594.,42,3,1
36321.,35,2,0
11755.,48,2,1
122998.,53,2,1
17671.,42,4,0
6561.,38,1,1
349842.,44,2,0
23794.,29,2,0
127930.,54,4,0
1025185.,43,3,1
222360.,37,3,1
19416.,32,1,0
2034.,21,3,0
1219968.,62,3,1
106854.,55,2,1
499895.,59,4,0
331586.,50,3,0
187622.,51,1,1
193006.,49,3,1
64418.,37,4,1
101140.,47,2,0
53247.,64,4,0
76374.,30,3,1
976.,22,3,0
626959.,58,1,1
84909.,47,5,1
6702.,30,3,1
58874.,26,4,0
38609.,30,2,1
39976.,51,1,1
268899.,61,3,1
155130.,39,1,1
32833.,32,3,0
39392.,66,2,1
586544.,61,1,1
220732.,56,3,1
43349.,24,2,0
268531.,59,5,1
3717.,22,4,0
51037.,56,2,0
42562.,44,3,1
9092.,24,3,0
55508.,38,4,0
146763.,63,3,1
3279.,23,2,0
1343239.,57,4,1
59870.,55,3,0
6174.,21,1,0
1395952.,51,3,1
41224.,52,3,1
8397.,22,3,0
154174.,52,3,1
73333.,55,4,1
109246.,47,2,0
1250.,23,3,0
431529.,39,4,1
8610.,32,1,0
128782.,52,5,1
214112.,50,3,1
13721.,35,2,1
401938.,48,2,1
12324.,58,3,1
25468.,34,3,0
758443.,50,3,1
4200.,29,2,0
1119.,21,2,0
214399.,60,4,1
29220.,30,2,0
225667.,49,3,0
9874.,51,3,0
35032.,26,2,0
74571.,54,3,1
174351.,40,5,0
94232.,43,2,0
105002.,47,5,0
289750.,56,3,1
51384.,43,2,1
83110.,44,2,1
438211.,54,4,0
46100.,31,5,0
57700.,37,4,1
82837.,37,4,1
76917.,45,4,1
507723.,60,1,1
18095.,43,3,0
36563.,25,3,0
667412.,52,2,1
20144.,23,2,1
229240.,46,2,1
4265.,26,2,0
16182.,37,1,1
37741.,35,3,0
71789.,42,3,0
576519.,57,4,1
27984.,40,2,1
264729.,47,5,1
254358.,58,5,1
577959.,59,2,1
158986.,63,3,1
29930.,29,4,0
8636.,21,2,0
146924.,43,3,1
